"","State","Rank","Name","Tuition.and.fees.x","Undergrad.Enrollment.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Undergrad.Enrollment.y","Earn","CrimeRate","HappyRank","HappyScore"
"80","DC",80,"Howard University","$24,908 ","6,883","Washington","20059-0001","www.howard.edu",38.922392,-77.018966,"0.3","Private nonprofit","City","1142",43116,0,0,1,1,1,1,1,1,1,1,1,1,"$24,908 ","6,883",46000,1244.4,18,57.01
"81","AZ",81,"University of Arizona","$30,025 ","33,732","Tucson","85721-0066","www.arizona.edu",32.232672,-110.950815,"0.7862","Public","City","NULL",24633,1,1,2,2,2,1,1,1,2,1,2,2,"$30,025 ","33,732",46200,399.9,31,51.51
"82","NY",82,"Clarkson University","$46,132 ","3,257","Potsdam","13699","www.clarkson.edu",44.662716,-74.999359,"0.6821","Private nonprofit","Town","1190",61992,0,1,0,1,0,1,1,1,1,1,1,1,"$46,132 ","3,257",61900,381.8,26,52.54
"83","NY",83,"Hofstra University","$42,160 ","6,824","Hempstead","11549","www.hofstra.edu",40.715959,-73.60078,"0.6222","Private nonprofit","Suburb","1177",55322,0,1,0,1,1,1,1,1,1,1,1,1,"$42,160 ","6,824",49500,381.8,26,52.54
"84","KY",84,"University of Kentucky","$26,334 ","22,705","Lexington","40506-0032","www.uky.edu",38.038911,-84.504747,"0.9079","Public","City","1159",26143,1,1,1,1,1,1,1,1,1,1,1,1,"$26,334 ","22,705",46400,211.6,49,35.08
"85","KS",85,"Kansas State University","$23,429 ","19,859","Manhattan","66506","www.k-state.edu",39.188648,-96.581077,"0.9407","Public","City","NULL",21989,1,1,1,1,1,1,1,1,1,1,2,1,"$23,429 ","19,859",43500,348.6,24,54.55
"86","GA",86,"Mercer University","$35,130 ","4,667","Macon","31207","www.mercer.edu",32.831787,-83.648295,"0.6935","Private nonprofit","City","1211",48766,0,1,0,1,1,1,1,1,2,1,1,1,"$35,130 ","4,667",52200,377.3,37,47.43
"87","NJ",87,"New Jersey Institute of Technology","$30,326 ","8,008","Newark","07102","www.njit.edu/",40.741997,-74.177113,"0.593","Public","City","1204",29143,0,1,1,1,0,1,1,1,0,0,1,1,"$30,326 ","8,008",59200,261.2,20,56.82
"88","AR",88,"University of Arkansas","$23,168 ","22,159","Fayetteville","72701","www.uark.edu",36.070009,-94.176981,"0.632","Public","City","1170",21817,1,1,1,1,1,1,1,1,1,1,2,1,"$23,168 ","22,159",44500,480.1,47,38.22
"89","MS",89,"University of Mississippi","$22,012 ","18,785","University","38677-1848","www.olemiss.edu",34.365529,-89.537434,"0.783","Public","Town","1155",23372,0,0,0,1,2,1,1,1,1,1,1,1,"$22,012 ","18,785",48000,278.5,48,36.05
"90","VA",90,"George Mason University","$32,582 ","23,062","Fairfax","22030-4444","https://www2.gmu.edu/",38.829976,-77.307428,"0.8099","Public","Suburb","1165",24347,0,1,0,2,1,1,1,1,1,1,1,1,"$32,582 ","23,062",55400,196.2,21,56.61
"91","OR",91,"Oregon State University","$28,846 ","24,612","Corvallis","97331","oregonstate.edu",44.56395,-123.274723,"0.7748","Public","City","1127",26189,2,2,0,2,1,1,1,1,2,2,1,2,"$28,846 ","24,612",47000,232.3,32,51.4
"92","WA",92,"Washington State University","$25,673 ","24,470","Pullman","99164-5910","wsu.edu/",46.730448,-117.158168,"0.7204","Public","Town","1054",26441,1,1,1,1,1,2,1,1,2,2,2,1,"$25,673 ","24,470",48300,285.2,12,59.26
"93","NY",93,"Adelphi University","$34,034 ","4,852","Garden City","11530-0701","www.adelphi.edu/",40.721439,-73.653321,"0.7029","Private nonprofit","Suburb","1114",47647,0,1,0,1,1,0,1,1,1,1,1,1,"$34,034 ","4,852",53700,381.8,26,52.54
"94","CA",94,"San Diego State University","$18,244 ","29,234","San Diego","92182","www.sdsu.edu",32.77525,-117.071228,"0.3464","Public","City","1132",22056,0,1,0,1,1,1,1,1,1,1,1,1,"$18,244 ","29,234",46400,396.1,10,59.96
"95","IL",95,"Illinois State University","$20,886 ","18,426","Normal","61790-1000","illinoisstate.edu/",40.509403,-88.990058,"0.8888","Public","Suburb","1090",27421,1,0,0,1,1,0,1,1,1,1,1,1,"$20,886 ","18,426",43700,370,25,52.6
"96","PA",96,"Immaculata University","$35,210 ","1,790","Immaculata","19345","www.immaculata.edu",40.027981,-75.570711,"0.8189","Private nonprofit","Suburb","970",50339,0,0,0,2,1,0,1,1,1,1,2,1,"$35,210 ","1,790",49500,314.1,34,49.98
"97","CA",97,"University of La Verne","$39,900 ","2,864","La Verne","91750-4401","www.laverne.edu/",34.10086,-117.772634,"0.4806","Private nonprofit","Suburb","1040",50603,0,1,0,1,1,0,1,1,1,1,2,1,"$39,900 ","2,864",44900,396.1,10,59.96
"98","WA",98,"Seattle Pacific University","$38,940 ","3,202","Seattle","98119-1997","www.spu.edu",47.650214,-122.361667,"0.8728","Private nonprofit","City","1108",51149,0,0,0,1,1,1,1,1,1,1,1,1,"$38,940 ","3,202",44000,285.2,12,59.26
"99","RI",99,"University of Rhode Island","$28,852 ","13,641","Kingston","02881","web.uri.edu/",41.484691,-71.527356,"0.7276","Public","Suburb","1081",27552,1,1,1,1,1,1,1,1,1,1,1,1,"$28,852 ","13,641",49100,219.2,27,52.37
"100","CA",100,"Biola University","$36,696 ","4,225","La Mirada","90639-0001","https://www.biola.edu",33.906203,-118.014374,"0.6485","Private nonprofit","Suburb","1093",48857,0,1,0,1,1,1,1,1,1,1,1,1,"$36,696 ","4,225",42700,396.1,10,59.96
