"","State","Rank","Name","Tuition.and.fees.x","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Tuition.and.fees.y","Earn","CrimeRate","HappyRank","HappyScore"
"86","IN",86,"Indiana University-Bloomington","$34,246 ","Bloomington","47405-7000","www.iub.edu",39.16609,-86.526559,"0.7872","Public","City","1200",24432,0,1,0,1,1,0,1,1,1,1,2,1,"$34,246 ","48300",365.3,40,45.94
"87","FL",87,"Florida State University","$24,673 ","Tallahassee","32306-1037","www.fsu.edu",30.440756,-84.291921,"0.5801","Public","City","1214",21938,0,1,0,1,1,1,1,1,1,1,1,1,"$24,673 ","44700",540.5,35,49.14
"88","VT",88,"University of Vermont","$40,364 ","Burlington","05405-0160","www.uvm.edu",44.477325,-73.196646,"0.6894","Public","City","1216",30573,1,2,0,1,1,1,1,1,1,1,1,1,"$40,364 ","44500",99.3,14,58.01
"89","NC",89,"North Carolina State University at Raleigh","$26,399 ","Raleigh","27695-7001","www.ncsu.edu",35.785111,-78.674517,"0.4751","Public","City","1273",22226,1,1,1,1,1,1,1,1,1,1,1,1,"$26,399 ","49200",329.5,30,52.16
"90","CO",90,"University of Colorado Boulder","$35,079 ","Boulder","80309-0017","www.colorado.edu",40.008781,-105.270823,"0.7662","Public","City","1229",31393,0,1,1,1,1,1,1,1,1,1,1,1,"$35,079 ","47000",309.1,5,61.59
"91","PA",91,"Drexel University","$51,030 ","Philadelphia","19104","www.drexel.edu",39.955217,-75.190051,"0.7465","Private nonprofit","City","1204",67821,0,1,1,1,1,1,1,1,1,1,1,1,"$51,030 ","62900",314.1,34,49.98
"92","MO",92,"Saint Louis University","$40,726 ","Saint Louis","63103-2097","www.slu.edu",38.636801,-90.2351,"0.6474","Private nonprofit","City","1259",54698,0,1,0,1,1,1,1,1,1,1,2,1,"$40,726 ","53700",442.9,42,44.58
"93","AL",93,"Auburn University","$28,840 ","Auburn","36849","www.auburn.edu",32.599378,-85.488258,"0.8054","Public","City","1217",29794,1,1,1,1,1,1,1,1,1,1,1,1,"$28,840 ","46800",427.4,50,34.15
"94","IL",94,"Loyola University Chicago","$41,384 ","Chicago","60660","www.luc.edu",42.000765,-87.656872,"0.7257","Private nonprofit","City","1195",54324,0,1,0,2,1,1,1,1,2,1,2,1,"$41,384 ","51800",370,25,52.6
"95","NY",95,"SUNY College of Environmental Science and Forestry","$17,620 ","Syracuse","13210","www.esf.edu",43.034765,-76.138724,"0.5421","Public","City","1157",24430,0,1,1,0,0,1,1,0,0,0,1,0,"$17,620 ","42100",381.8,26,52.54
