"","Name","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"3926","University of Wisconsin-Green Bay","Green Bay","WI","54311-7001","www.uwgb.edu","44.532298","-87.919973","0.7313",1,"12","1050",17979,"0","1","0","1","1","0","1","1","2","1","1","1"
"3927","University of Wisconsin-La Crosse","La Crosse","WI","54601-9959","www.uwlax.edu","43.81568","-91.23186","0.7424",1,"13","1145",17778,"0","0","0","1","1","0","1","1","1","1","1","1"
"3928","Wisconsin Lutheran College","Milwaukee","WI","53226-4699","wlc.edu","43.036943","-88.022718","0.9027",2,"11","1107",38409,"0","1","0","1","1","0","1","1","1","1","2","1"
"3929","University of Wisconsin-Oshkosh","Oshkosh","WI","54901","www.uwosh.edu","44.026206","-88.549369","0.6502",1,"13","1030",18143,"0","1","1","1","2","0","1","1","1","1","1","1"
"3930","University of Wisconsin-Parkside","Kenosha","WI","53144","https://www.uwp.edu","42.647718","-87.855231","0.6246",1,"22","970",15793,"0","1","0","1","1","0","1","1","1","1","2","1"
"3931","Herzing University-Madison","Madison","WI","53718","www.Herzing.edu","43.14415","-89.291561","0.839",3,"11","NULL",27731,"0","0","0","2","0","0","0","0","0","0","2","0"
"3932","University of Wisconsin-Stout","Menomonie","WI","54751","www.uwstout.edu","44.873187","-91.926653","0.884",1,"32","1030",19002,"0","1","0","2","2","1","0","1","1","1","2","0"
"3933","University of Wisconsin-Superior","Superior","WI","54880-4500","https://www.uwsuper.edu","46.717629","-92.091007","0.7611",1,"22","1010",18003,"0","0","0","1","2","0","1","1","1","1","1","1"
"3934","University of Wisconsin-Madison","Madison","WI","53706-1380","www.wisc.edu","43.075409","-89.404098","0.5262",1,"11","1302",24594,"1","1","1","1","1","1","1","1","1","1","1","1"
"3935","University of Wisconsin-Milwaukee","Milwaukee","WI","53211","uwm.edu","43.076848","-87.880488","0.7329",1,"11","1050",21771,"0","1","1","2","1","1","1","1","1","1","1","1"
"3936","University of Wisconsin-Platteville","Platteville","WI","53818-3099","www.uwplatt.edu","42.733451","-90.48622","0.8033",1,"32","1090",18316,"1","1","0","1","1","1","1","1","1","1","2","1"
"3937","University of Wisconsin-River Falls","River Falls","WI","54022-5001","https://www.uwrf.edu","44.8534","-92.622641","0.7215",1,"32","1050",18746,"1","1","0","1","1","0","1","1","1","1","1","1"
"3938","University of Wisconsin-Stevens Point","Stevens Point","WI","54481-3897","https://www.uwsp.edu","44.529582","-89.570934","0.8142",1,"32","1050",17203,"1","1","0","1","2","1","1","1","1","1","2","1"
"3939","Casper College","Casper","WY","82601-4699","www.caspercollege.edu","42.832788","-106.326712","NULL",1,"13","NULL",10885,"0","0","0","0","0","0","0","0","0","0","0","0"
"3940","Central Wyoming College","Riverton","WY","82501","www.cwc.edu/","43.030556","-108.426738","NULL",1,"33","NULL",10399,"0","0","0","0","0","0","0","0","0","0","0","0"
"3941","Eastern Wyoming College","Torrington","WY","82240-1699","ewc.wy.edu","42.079354","-104.190823","NULL",1,"33","NULL",12585,"0","0","0","0","0","0","0","0","0","0","0","0"
"3942","Laramie County Community College","Cheyenne","WY","82007-3299","www.lccc.wy.edu","41.104288","-104.778789","NULL",1,"23","NULL",11284,"0","0","0","0","0","0","0","0","0","0","0","0"
"3943","Northwest College","Powell","WY","82435","www.nwc.edu","44.760656","-108.761853","NULL",1,"33","NULL",11980,"0","0","0","0","0","0","0","0","0","0","0","0"
"3944","Sheridan College","Sheridan","WY","82801","www.sheridan.edu","44.763926","-106.941105","NULL",1,"33","NULL",11591,"0","0","0","0","0","0","0","0","0","0","0","0"
"3945","Western Wyoming Community College","Rock Springs","WY","82901","https://www.westernwyoming.edu","41.590964","-109.237126","NULL",1,"33","NULL",10501,"0","0","0","0","0","0","0","0","0","0","0","0"
"3946","Cheeks International Academy of Beauty Culture-Cheyenne","Cheyenne","WY","82001-4413","www.cheeksusa.com","41.134123","-104.816751","NULL",3,"13","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3947","Wyotech-Laramie","Laramie","WY","82070-9519","https://www.wyotech.edu/campus/laramie","41.30354","-105.621161","NULL",2,"33","NULL",NA,"0","0","0","0","0","0","0","0","0","0","0","0"
"3948","University of Wyoming","Laramie","WY","82071","www.uwyo.edu","41.311773","-105.57931","0.9508",1,"33","1102",19169,"1","1","0","1","1","1","1","1","1","1","1","1"
"3949","American Samoa Community College","PagoPago","AS","96799-2609","www.amsamoa.edu","-14.322636","-170.742774","NULL",1,"33","NULL",6940,"0","0","0","0","1","0","0","0","0","0","0","0"
